DATE,ATNHPIUS16740Q
1977-01-01,40.23
1977-04-01,36.82
1977-07-01,40.09
1977-10-01,42.39
1978-01-01,43.67
1978-04-01,43.46
1978-07-01,45.43
1978-10-01,45.46
1979-01-01,46.59
1979-04-01,48.66
1979-07-01,50.47
1979-10-01,50.9
1980-01-01,52.9
1980-04-01,52.28
1980-07-01,53.97
1980-10-01,55
1981-01-01,54.85
1981-04-01,55.69
1981-07-01,56.11
1981-10-01,56.74
1982-01-01,55.04
1982-04-01,60.1
1982-07-01,54.7
1982-10-01,60.19
1983-01-01,58.46
1983-04-01,59.5
1983-07-01,59.13
1983-10-01,59.86
1984-01-01,62.42
1984-04-01,64.46
1984-07-01,64.17
1984-10-01,65.47
1985-01-01,66.72
1985-04-01,67.47
1985-07-01,68.62
1985-10-01,69.13
1986-01-01,69.76
1986-04-01,71.07
1986-07-01,72.44
1986-10-01,74.03
1987-01-01,75.49
1987-04-01,77.08
1987-07-01,78.2
1987-10-01,80.01
1988-01-01,80.76
1988-04-01,82.06
1988-07-01,83.29
1988-10-01,84.13
1989-01-01,84.79
1989-04-01,85.56
1989-07-01,87.14
1989-10-01,88.04
1990-01-01,87.39
1990-04-01,88.24
1990-07-01,89.19
1990-10-01,88.25
1991-01-01,89.04
1991-04-01,90.39
1991-07-01,90.28
1991-10-01,91.32
1992-01-01,91.63
1992-04-01,91.84
1992-07-01,92.99
1992-10-01,93.41
1993-01-01,93.47
1993-04-01,94.09
1993-07-01,94.98
1993-10-01,95.55
1994-01-01,95.82
1994-04-01,96.94
1994-07-01,98.24
1994-10-01,99.31
1995-01-01,100.00
1995-04-01,101.61
1995-07-01,103.36
1995-10-01,104.34
1996-01-01,106
1996-04-01,107.47
1996-07-01,109.01
1996-10-01,110.11
1997-01-01,111.37
1997-04-01,113.49
1997-07-01,114.42
1997-10-01,116.38
1998-01-01,118.2
1998-04-01,119.04
1998-07-01,120.87
1998-10-01,121.82
1999-01-01,123.36
1999-04-01,124.6
1999-07-01,125.39
1999-10-01,126.58
2000-01-01,126.97
2000-04-01,128.67
2000-07-01,129.93
2000-10-01,131.47
2001-01-01,134.42
2001-04-01,135.42
2001-07-01,136.33
2001-10-01,137.39
2002-01-01,137.89
2002-04-01,138.41
2002-07-01,140.29
2002-10-01,140.67
2003-01-01,141.69
2003-04-01,142.71
2003-07-01,143.01
2003-10-01,144.27
2004-01-01,145.29
2004-04-01,146.05
2004-07-01,146.59
2004-10-01,148.89
2005-01-01,150.17
2005-04-01,151.02
2005-07-01,154.2
2005-10-01,156.53
2006-01-01,158.99
2006-04-01,161.35
2006-07-01,165.16
2006-10-01,168.24
2007-01-01,170.56
2007-04-01,174.2
2007-07-01,176.02
2007-10-01,177.92
2008-01-01,179.34
2008-04-01,179.39
2008-07-01,176.48
2008-10-01,177.16
2009-01-01,178.74
2009-04-01,175.25
2009-07-01,170.12
2009-10-01,166.2
2010-01-01,163.33
2010-04-01,161.11
2010-07-01,162.47
2010-10-01,161.19
2011-01-01,157.56
2011-04-01,153.14
2011-07-01,153.49
2011-10-01,154.99
2012-01-01,151.92
2012-04-01,150.96
2012-07-01,152.65
2012-10-01,153.67
2013-01-01,154.1
2013-04-01,156.31
2013-07-01,159.16
2013-10-01,159.54
2014-01-01,160.72
2014-04-01,164
2014-07-01,166.13
2014-10-01,167.66
2015-01-01,171.19
2015-04-01,173.48
2015-07-01,175.65
2015-10-01,178.2
2016-01-01,181.65
2016-04-01,184.36
2016-07-01,189.11
2016-10-01,191.28
2017-01-01,193.69
2017-04-01,200.6
2017-07-01,204.74
2017-10-01,205.44
2018-01-01,209.78
2018-04-01,217.4
2018-07-01,219.35
2018-10-01,221.82
2019-01-01,225.08
2019-04-01,229.23
2019-07-01,231.91
2019-10-01,234.61
2020-01-01,238.49
2020-04-01,240.88
2020-07-01,245.84
2020-10-01,252.12
